CITY,STATE,FILENAME,ANSI_PLACENS,SPP_BOT,SPP_COM,SPP_CODE,SPP_OTHER,GENUS,SPECIES,CULTIVAR,DBH_EXACT,DBH_CLASS,CIRC_EXACT,LONG_col,LAT_col,TREE_ID,HEIGHT_EXACT,HEIGHT_CLASS,STEMS,MULTI_STEMS,WIDTH,AGE,CONDITION,RISK,FAILURE,DATE_INV,DATE_UPDATE,DATE_PLANT,STATUS,CROWN1,CROWN2,CROWNAREA,notes
Indianapolis,Indiana,indianapolis_in.csv,,SPECIES,COMMONNAME,,FAMILY,GENUS,,,DBH,,,LONGITUDE,LATITUDE,ObjectId,,,,,,,,,,,,,,,,,
Irondequoit,New York,irondequoit_ny.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,ID_rep,,,,,,,,,,,,,,,,,
Ithaca,New York,ithaca_ny.csv,979099,SPP_bot,SPP_com,,,,,Cultivar,DBH,,,longitude,latitude,OBJECTID,,,,,,,,,,,,PLDate,,,,,
Jackson,Mississippi,jackson_ms.csv,,,Plant_Spec,,,,,,Trunk_Diam,,,Longitude,Latitude,OBJECTID,,,,,,,Health_Sta,,,CreationDa,EditDate,,,,,,
Jersey City (park),New Jersey,jerseycity_nj_P.csv,,SPP,COMMON,,,,,,DBH,,,LONGITUDE,LATITUDE,UNIQUEID,,,,,,,COND,RATING,,INV_DATE,,,,,,,"remove duplicate, UNIQUEID"
Jersey City (city),New Jersey,jerseycity_nj.csv,,SPP_BOT,SPP_COM,,,,,,DBH,,,LONGITUDE,LATITUDE,UNIQUEID,,,,,,,COND,,,INV_DATE,,,,,,,"remove duplicate, UNIQUEID"
Knoxville,Tennessee,knoxville_tn.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,Cultivar,Diameter,,,Longitude,Latitude,Site_ID,,,,,,,,,,Inventory_Date,,Year_Planted,,,,,
Lancaster,Pennsylvania,lancaster_pa.csv,,SpeciesNam,CommonName,SpCode,,,,Cultivar,DBH,,,X_Coorid,Y_Coorid,OBJECTID,,,,,,,TreeCondit,,,CreationDa,EditDate,,,,,,
Louisville (park),Kentucky,louisville_ky_P.csv,,LatinName,CommonName,,Family,Genus,,,DBH,,,x,y,FID,,,,,,,Condition,,,CreationDate,,InstallYea,Status,,,,LatLongTools
Louisville,Kentucky,louisville_ky.csv,,,,,Tree_Name_Genus_Species,,,cultivar,diameter,,,x,y,OBJECTID,,,,,,,Condition,,,,last_edited_date,,Status,,,,"LatLong Tools, only 'Street Tree' and 'Park Tree'"
Lowell,Massachusetts,lowell_ma.csv,,,commonname,,,,,,DBH_in,,circum_in,x,y,FID,,,,,,,Tree_Condi,,,CreationDa,EditDate,,,,,,"LatLong Tools, need to add circumference field"
Lower Merion town,Pennsylvania,lowermerion_pa.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,,,,,,,,,,,
Madison,Wisconsin,madison_wi.csv,,SPP_BOT,SPP_COM,,,,,,DIAMETER,,,x,y,OBJECTID,,,,,,,,,,INV_DATE,INSPECT_DT,,,,,,LatLong Tools
Manchester,New Hampshire,manchester_nh.csv,,,,,species,,,,size,,,x,y,objectid,height,,,,,,condition,,,,,,,crown_width,,,LatLong Tools
Marathon County (parks),Wisconsin,marathon_wi_P.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,Multi_Stem,,,,,,,,,,,,,
Miami Beach,Florida,miamibeach_fl.csv,,SCI_NAME,TREE_SPECI,,,,,,DBH,,,x,y,OBJECTID,,,,,,,CONDITION,,,GPS_DATE,,,,,,,LatLongTools
Miami Lakes,Florida,miamilakes_fl.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,Height,,Trunks,,,,,,,,,,,,,,
Milwaukee,Wisconsin,milwaukee_wi.csv,,latin_name,common_name,code,,,,,diameter_in,,,longitude,latitude,primary_id,height_ft,,,,,,,,,inventory_yr,,,,,,,
Miramar,Florida,miramar_fl.csv,,BOTANICAL,COMMON,,,,,,EXACT_DBH,DBH,,x1,y1,ID,EXACT_HEIG,HEIGHT,TRUNKS,,,,CONDITION,,,GPSDATE,UDATE,,,,,,LatLong Tools
Montgomery,Alabama,montgomery_al.csv,,SPP_BOT,SPP_COM,,,,,,DBH,,,LONGITUDE,LATITUDE,OBJECTID,,HEIGHT,,,,,,,,,,,,CANOPYWID,,,
Mount Pleasant,Wisconsin,mountpleasant_wi.csv,,,Species,,,,,Cultivar,Diameter,,,x,y,OBJECTID,,HClass,,,,,ConditionRating_rep,,,created_date,InspDate,YearPlant,,,,,
