SPECIES,SPECIES_COM,gbif_usageKey,usda_fiadb_SPCD,CULTIVAR,DBH_cm,LON,LAT,city_filename,CITY,STATE,FIPS
Abies fraseri,Fraser fir,2685318,16,NA,5.08,-89.014713931224,40.491556274386,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,12.7,-88.9203357858,40.4941857427,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-89.0040399111,40.463754146,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-89.0054809212,40.4490005799,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.91808672185,40.493156380393,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,12.7,-88.9220034491,40.4957605927,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,12.7,-88.9626286344,40.4993344982,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.9818227168,40.480505349,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,15.24,-88.9203370534,40.4941423631,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,12.7,-88.9203446592,40.4943987844,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.962536098,40.4993402817,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,10.16,-88.967451065,40.4972089126,bloomington_il.csv,Bloomington,Illinois,1706613
Abies fraseri,Fraser fir,2685318,16,NA,7.62,-88.9625652533,40.4993354621,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,76.2,-88.96265384833,40.478966585562,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.965245029874,40.474441837745,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,10.16,-88.948508496148,40.467407258578,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.946314170664,40.477894064526,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,71.12,-88.946425493458,40.472095914485,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,60.96,-88.965020819038,40.475430078668,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,20.32,-88.934403078175,40.506848911357,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,55.88,-89.000787340428,40.470379406284,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,45.72,-88.94432831341,40.477490363245,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,35.56,-88.995665135777,40.467507071582,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,25.4,-88.927428586318,40.499505249499,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.996308865941,40.467062229057,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,35.56,-88.973890879528,40.478294376655,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,15.24,-88.930083868086,40.505747986698,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,63.5,-88.991033966639,40.46814264575,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,25.4,-88.936458053987,40.471722440483,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,20.32,-88.939500155088,40.461798201349,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,40.64,-88.931798358888,40.46887244207,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.972901563146,40.475171780822,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.9467352886,40.472009196756,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,60.96,-88.964305512876,40.492953062865,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.991154666044,40.468556873276,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,76.2,-88.959125905283,40.471038044101,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,55.88,-88.965201516145,40.471692767384,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,55.88,-88.97201904512,40.47761274614,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,5.08,-88.941861866962,40.498510258603,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,15.24,-88.931644826629,40.497430063535,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,20.32,-88.970443482981,40.454480553566,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,71.12,-88.995704574125,40.463112789555,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,22.86,-88.939817845144,40.465650535196,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.929314706856,40.509471116251,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.96388089188,40.478631820217,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,10.16,-88.925817972263,40.466915718144,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,10.16,-88.914643648074,40.505744061265,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,20.32,-88.935752111299,40.467567644331,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.96717865147,40.477351784932,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,5.08,-88.982761698759,40.466111939006,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,66.04,-88.926899918344,40.51574948844,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,45.72,-88.946473697406,40.491735783091,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.96587945648,40.480140191325,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,38.1,-88.950312753499,40.494192746529,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,25.4,-88.946904594284,40.467613277671,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,40.64,-88.965077458228,40.469365309117,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,55.88,-88.926888121202,40.499504229707,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.945155119728,40.468657836984,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.929089401299,40.509471116251,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,25.4,-88.933039075686,40.515725555029,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.944028811248,40.469113876737,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,20.32,-88.934033977862,40.515783507978,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,40.64,-88.93960001039,40.514708553393,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,15.24,-88.960959039235,40.477262359699,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,5.08,-88.967815167671,40.475081325216,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.940763696395,40.47769055817,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-88.935326973418,40.466851630917,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,5.08,-88.970607699511,40.472109291525,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,25.4,-88.920242865552,40.513173657616,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,91.44,-88.948904229047,40.472929575203,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,20.32,-88.930169283478,40.496653720853,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,76.2,-88.969612758122,40.475407623888,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,15.24,-88.940854592959,40.476037824167,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,45.72,-88.964249080821,40.462655709184,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,66.04,-88.998666527662,40.46894638096,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,5.08,-88.943006079374,40.475508565474,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,35.56,-88.932333885473,40.475466028756,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,25.4,-88.977120134951,40.473027863707,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,40.64,-88.970537112433,40.480072865635,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.94492981417,40.468386447234,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,15.24,-88.931565651546,40.469683368866,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,5.08,-89.0100543278,40.45144308247,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.964062404184,40.490646943049,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,25.4,-88.932017653682,40.498061330962,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,22.86,-88.938288286297,40.46226932137,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,10.16,-88.932375228955,40.515722496395,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,35.56,-89.001278805895,40.471109063482,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,20.32,-88.993089699817,40.468911691547,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,45.72,-89.001807112818,40.471744547453,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,50.8,-88.961446943455,40.475271639327,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,5.08,-88.946492724104,40.492373180863,bloomington_il.csv,Bloomington,Illinois,1706613
Acer spp.,maple spp.,11599995,310,NA,30.48,-89.008982906526,40.453418251987,bloomington_il.csv,Bloomington,Illinois,1706613
